Age,Growth,Shoe size,Course number,Year of birth,Friend number,Russian rating,Maths rating,Physics rating,Computer science rating,Chemistry rating,Literature rating,History rating,Geography rating,Biology rating,Foreign language rating,Social science rating,Distance to home km,Minutes to first class,Children number,Removed teeth,Weight,Glasses,Sex,Problems in last semester,Coin,Rock paper scissors,Animal,Month of birthday,Your rating in university,Fastfood,Height of 5000 mm,Width of 5000 mm,Putin age,Army,Hostel,Hair length,Floor number,Social network duration min,Chocolate,City population,Strange people,Your insitute,Brother-sister,Plane seat,MIddle and index finger,Middle and ring finger,Middle and little finger
21,163,37,7,2000,468,67,89,91,0,0,0,0,0,0,0,0,438,10,2.5,0,60,нет,женский,нет,Решка,Ножницы,Собак,9,выше средней по университету,KFC,45,168,72,не призовут (по разным причинам),да,100,5,60,Баунти,800000,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),3,6,18
55,160,37,7,1960,2000,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,нет,женский,да,Решка,Бумага,Кошек,12,выше средней по университету,Макдональдс (или как он там сейчас называется?),70,150,68,не призовут (по разным причинам),нет,25,4,300,Милки Вей,800000,СоцГум,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,10,10
27,168,39,7,1995,600,67,66,0,0,0,0,0,0,0,0,84,200,90,1,3,58,нет,женский,нет,Решка,Ножницы,Кошек,6,выше средней по университету,Макдональдс (или как он там сейчас называется?),70,150,69,не призовут (по разным причинам),нет,50,9,180,Баунти,800000,Педагогический,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),10,10,45
19,184,43,2,2002,219,84,82,0,95,0,0,0,0,0,0,0,180,50,1,0,81,нет,мужской,нет,Орел,Ножницы,Ненавижу этих животных,4,выше средней по университету,KFC,50,165,69,не призовут (по разным причинам),нет,3,2,70,Баунти,850000,Юридический,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),12,10,25
19,172,41,3,2003,57,71,74,0,69,0,0,0,0,0,0,0,0,120,1,0,56,нет,мужской,да,Орел,Бумага,Собак,2,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,71,могут призвать,нет,15,2,180,Сникерс,900000,Экономический,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),5,8,25
18,168,40,1,2004,200,82,72,0,0,0,0,0,0,0,93,68,0,180,2,0,,да,женский,нет,Орел,Ножницы,Кошек,1,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,72,не призовут (по разным причинам),нет,70,2,360,Твикс,900000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),12,10,37
19,167,38,2,2002,80,96,90,97,92,0,0,0,0,0,0,0,220,120,,0,58,да,женский,нет,Решка,Ножницы,Кошек,11,выше средней по университету,KFC,70,150,65,не призовут (по разным причинам),нет,40,7,300,КитКат,800000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),10,15,40
23,188,44,4,1998,93,88,74,65,0,0,0,0,0,0,0,0,0,90,,3,83,нет,мужской,нет,Орел,Камень,Кошек,9,выше средней по университету,Макдональдс (или как он там сейчас называется?),650,210,78,не призовут (по разным причинам),нет,1.5,3,90,Марс,800000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),20,15,45
21,171,40,3,2000,500,91,5,0,0,0,90,0,0,0,86,79,1300,30,2,1,89,да,женский,да,Решка,Ножницы,Кошек,9,выше средней по университету,KFC,70,120,69,не призовут (по разным причинам),нет,40,6,480,КитКат,800000,СоцГум,СоцГум,нет ни брата ни сестры,У окна (пардон: у иллюминатора),11,13,34
19,178,39,1,2003,519,92,0,0,0,80,0,0,0,86,0,0,256,40,3,0,75,да,женский,нет,Орел,Ножницы,Ненавижу этих животных,2,выше средней по университету,Бургер кинг,700,1500,74,не призовут (по разным причинам),нет,20,8,120,Марс,77,Математический и ИТ,Естественный (биология-химия-физика-технари),есть брат,У окна (пардон: у иллюминатора),15,10,35
21,160,36,4,2000,698,74,36,0,0,0,0,0,0,0,0,86,690,120,1,,54,да,женский,нет,Орел,Камень,Кошек,10,выше средней по университету,KFC,50,180,67,не призовут (по разным причинам),нет,50,8,1000,Твикс,600000,Педагогический,Экономический,нет ни брата ни сестры,У окна (пардон: у иллюминатора),20,20,40
21,178,39,7,2000,160,91,74,59,0,0,0,0,0,0,0,0,5379,90,,2,55,нет,женский,да,Орел,Бумага,Кошек,8,ниже средней по университету,Бургер кинг,55,140,50,не призовут (по разным причинам),нет,30,4,360,Твикс,600000,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),5,11,35
20,164,39,4,2001,68,96,5,0,0,0,0,79,0,0,0,86,0,90,2,2,46,нет,мужской,нет,Орел,Камень,Кошек,11,выше средней по университету,Бургер кинг,78,130,69,не призовут (по разным причинам),нет,35,1,1000,КитКат,800000,Математический и ИТ,Юридический,есть и брат и сестра,У прохода,10,8,30
19,173,42,2,2002,237,80,76,41,73,0,0,0,0,0,0,0,365,90,1.5,0,93,нет,мужской,нет,Орел,Ножницы,Собак,8,ниже средней по университету,KFC,35,80,72,могут призвать,нет,8,11,840,Сникерс,900000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),12,5,28
18,158,36,1,2003,250,98,0,0,0,0,90,0,0,0,0,83,100,60,1.5,,53,да,женский,нет,Решка,Камень,Кошек,8,выше средней по университету,Бургер кинг,40,120,74,не призовут (по разным причинам),да,40,5,120,Марс,826,СоцГум,СоцГум,есть брат,В середине,1,1,2
20,165,38,2,2002,996,78,45,0,61,0,0,0,0,0,0,76,0,30,,0,,да,женский,да,Решка,Бумага,Кошек,2,ниже средней по университету,KFC,50,1100,69,не призовут (по разным причинам),нет,70,5,148,Баунти,620000,Педагогический,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),9,7,15
19,163,34,2,2003,30000,88,0,0,0,56,0,0,0,65,0,0,757,30,0,0,56,да,женский,нет,Решка,Ножницы,Кошек,7,выше средней по университету,KFC,70,130,69,не призовут (по разным причинам),да,50,2,150,КитКат,1500000,Педагогический,Естественный (биология-химия-физика-технари),есть сестра,У прохода,15,5,25
20,170,40,2,2002,18,87,70,0,0,73,0,0,0,73,0,59,638,35,0,0,,да,женский,нет,Орел,Камень,Собак,3,выше средней по университету,KFC,50,150,69,не призовут (по разным причинам),нет,45,6,150,Милки Вей,850000,Естественный (биология-химия-физика-технари),Естественный (биология-химия-физика-технари),есть сестра,У прохода,10,5,25
20,160,37,3,2002,544,100,5,0,0,0,84,0,0,0,0,0,25,60,0,0,45,нет,женский,нет,Орел,Бумага,Кошек,2,выше средней по университету,Макдональдс (или как он там сейчас называется?),0,0,69,не призовут (по разным причинам),да,50,7,360,Баунти,800000,Математический и ИТ,СоцГум,есть и брат и сестра,У прохода,0,0,0
31,165,38,7,1990,900,91,72,0,0,0,0,0,0,0,0,0,825,90,2,0,53,нет,женский,нет,Решка,Ножницы,Кошек,9,выше средней по университету,KFC,70,175,69,не призовут (по разным причинам),нет,50,3,60,Сникерс,800000,СоцГум,Другое,есть и брат и сестра,У окна (пардон: у иллюминатора),8,8,16
19,160,37,2,2003,187,86,80,0,0,0,0,0,0,0,0,83,0,130,3,0,60,да,женский,нет,Орел,Ножницы,Собак,6,выше средней по университету,KFC,70,180,71,не призовут (по разным причинам),нет,30,7,250,Баунти,800000,Педагогический,Педагогический,есть брат,У окна (пардон: у иллюминатора),11,9,39
22,168,38,7,1999,100,86,72,68,64,0,0,0,0,0,0,0,0,90,2,1,52,нет,женский,нет,Орел,Ножницы,Собак,10,выше средней по университету,Бургер кинг,80,200,69,не призовут (по разным причинам),нет,70,12,120,Милки Вей,950000,Педагогический,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),7,11,25
26,165,38,7,1996,73,87,77,0,72,0,0,0,0,0,0,0,0,40,,,,нет,женский,нет,Решка,Ножницы,Кошек,6,выше средней по университету,KFC,70,150,69,не призовут (по разным причинам),нет,70,2,120,Твикс,850000,СоцГум,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),12,8,25
19,197,46,3,2002,130,67,74,50,76,0,0,0,0,0,0,0,10,20,0,0,100,нет,мужской,да,Орел,Камень,Кошек,12,выше средней по университету,KFC,60,123,69,могут призвать,нет,23,14,40,Баунти,1500000,Педагогический,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),23,5,23
23,181,42,5,1999,8,61,56,59,0,0,0,0,0,0,0,0,500,30,0,,,нет,мужской,нет,Орел,Ножницы,Собак,7,выше средней по университету,KFC,50,80,76,могут призвать,да,1.5,6,75,Милки Вей,870000,Педагогический,Другое,нет ни брата ни сестры,У прохода,6,5,22
23,187,44,7,1998,500,91,56,0,0,0,0,56,0,0,0,72,0,42,2,0,98,нет,мужской,нет,Орел,Ножницы,Собак,12,выше средней по университету,KFC,50,100,60,не призовут (по разным причинам),нет,15,4,270,Твикс,700000,СоцГум,СоцГум,есть сестра,У окна (пардон: у иллюминатора),10,5,15
20,170,42,2,2002,87,71,72,0,0,0,0,0,51,0,0,68,0,95,2,0,70,да,мужской,да,Орел,Камень,Кошек,3,ниже средней по университету,Бургер кинг,57,170,180,не призовут (по разным причинам),нет,4,1,900,Сникерс,500000,Педагогический,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),9,12,27
21,176,43,2,2001,179,79,74,0,79,0,0,0,0,0,0,0,612,45,4,0,95,нет,мужской,нет,Решка,Камень,Кошек,7,выше средней по университету,Бургер кинг,50,120,78,могут призвать,нет,2,16,360,M&Ms,1000000,СоцГум,Экономический,есть брат,У окна (пардон: у иллюминатора),17,10,31
21,164,37,3,2001,500,85,68,0,0,0,72,0,0,0,0,91,250,90,3,0,65,да,женский,нет,Орел,Ножницы,Кошек,2,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,65,не призовут (по разным причинам),нет,100,7,180,Сникерс,1000000,Естественный (биология-химия-физика-технари),Экономический,есть сестра,У окна (пардон: у иллюминатора),10,15,35
19,158,39,2,2003,11,91,62,0,68,0,91,0,0,0,0,0,2400,60,1,0,,простите. не увидел(а) вопроса )))),женский,нет,Орел,Ножницы,Кошек,3,выше средней по университету,Бургер кинг,70,160,69,не призовут (по разным причинам),да,70,8,30,Милки Вей,800000,СоцГум,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),15,7,25
21,167,41,2,2001,72,72,62,0,0,0,0,0,87,0,0,0,0,40,,0,64,да,женский,да,Решка,Бумага,Ненавижу этих животных,2,ниже средней по университету,Бургер кинг,80,1800,67,не призовут (по разным причинам),нет,60,1,90,Натс,740000,Математический и ИТ,Естественный (биология-химия-физика-технари),есть и брат и сестра,У окна (пардон: у иллюминатора),12,15,45
19,165,37,3,2003,109,100,80,0,0,0,0,0,0,0,0,99,250,60,1,0,60,нет,женский,нет,Решка,Ножницы,Кошек,1,выше средней по университету,Макдональдс (или как он там сейчас называется?),55,120,65,не призовут (по разным причинам),нет,65,3,500,КитКат,900000,Естественный (биология-химия-физика-технари),Экономический,есть брат,У прохода,5,4,14
18,183,44,1,2003,200,66,72,0,78,0,0,0,0,0,0,0,1100,45,1,0,65,да,мужской,нет,Орел,Камень,Собак,11,выше средней по университету,KFC,85,260,75,могут призвать,нет,3,6,120,Сникерс,850000,Математический и ИТ,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),9,8,31
26,179,42,7,1996,750,73,76,0,82,0,0,0,0,0,0,0,0,80,1,0,75,да,мужской,нет,Орел,Камень,Кошек,6,выше средней по университету,KFC,110,330,66,не призовут (по разным причинам),нет,15,6,120,Сникерс,800000,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),8,5,12
22,178,42,5,1999,30,91,76,50,62,0,0,0,0,0,0,0,189,60,1,0,7,нет,мужской,нет,Орел,Ножницы,Кошек,10,выше средней по университету,Макдональдс (или как он там сейчас называется?),70,350,70,могут призвать,нет,10,5,180,Сникерс,850000,СоцГум,Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),5,2,7
17,175,41,0,2004,152,96,80,0,83,0,0,0,0,0,0,0,0,25,1024,0,72,нет,мужской,нет,Орел,Ножницы,Собак,9,выше средней по университету,KFC,50,150,2048,могут призвать,нет,7,8,1000,КитКат,1,СоцГум,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),3,2,5
23,158,35,7,1999,250,76,55,0,0,0,0,66,0,0,0,80,0,90,3,0,48,нет,мужской,нет,Решка,Ножницы,Кошек,7,выше средней по университету,Макдональдс (или как он там сейчас называется?),40,100,69,не призовут (по разным причинам),нет,55,6,1000,Твикс,780000,Математический и ИТ,Экономический,есть брат,У окна (пардон: у иллюминатора),10,8,20
20,157,36,3,2002,110,86,56,0,0,0,0,0,0,0,0,62,333,40,,,,да,женский,нет,Орел,Камень,Кошек,4,выше средней по университету,Макдональдс (или как он там сейчас называется?),70,100,70,не призовут (по разным причинам),нет,40,5,60,Скиттлс (хотя это и не шоколадка),700000,Математический и ИТ,Юридический,нет ни брата ни сестры,У окна (пардон: у иллюминатора),10,8,25
18,157,35,2,2003,128,69,0,0,0,0,0,38,0,0,0,78,0,90,0,0,59,да,женский,нет,Орел,Камень,Кошек,12,выше средней по университету,KFC,30,1200,69,не призовут (по разным причинам),нет,30,9,360,КитКат,1200000,СоцГум,СоцГум,нет ни брата ни сестры,У окна (пардон: у иллюминатора),11,15,35
19,166,38,1,2002,90,76,50,0,0,0,0,0,64,0,0,0,1200,180,,,49,да,женский,да,Орел,Бумага,Кошек,10,выше средней по университету,Макдональдс (или как он там сейчас называется?),60,120,2022,не призовут (по разным причинам),нет,50,18,240,КитКат,800000,Педагогический,Другое,есть и брат и сестра,У прохода,15,10,40
19,184,40,2,2003,188,82,65,0,91,0,0,0,0,0,0,0,0,120,2,0,,да,мужской,да,Решка,Бумага,Собак,1,выше средней по университету,Бургер кинг,60,120,60,не призовут (по разным причинам),нет,20,4,400,Сникерс,1000000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),10,14,30
22,170,38,4,2000,311,85,70,0,75,0,0,0,0,0,0,0,0,60,1,0,,да,женский,нет,Решка,Ножницы,Кошек,2,выше средней по университету,Бургер кинг,60,140,1000,не призовут (по разным причинам),нет,80,4,120,Марс,780000,СоцГум,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),7,15,40
19,175,41,2,2003,120,86,74,0,78,0,0,0,0,0,0,0,878,30,2,0,53,нет,мужской,нет,Орел,Ножницы,Собак,3,выше средней по университету,KFC,4,80,67,могут призвать,нет,10,3,1000,КитКат,800000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть сестра,В середине,10,2,15
20,167,37,2,2002,46,98,76,0,0,0,0,0,0,84,0,0,0,40,0,0,55,нет,женский,нет,Решка,Ножницы,Кошек,7,выше средней по университету,KFC,60,90,62,не призовут (по разным причинам),нет,37,5,120,Баунти,830000,Математический и ИТ,Педагогический,есть брат,У окна (пардон: у иллюминатора),8,10,30
21,163,39,4,2000,633,82,68,0,68,0,0,9,0,0,0,0,0,60,,4,88,нет,женский,нет,Орел,Ножницы,Кошек,7,выше средней по университету,Макдональдс (или как он там сейчас называется?),56,125,67,не призовут (по разным причинам),нет,56,20,328,Сникерс,850,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),3,5,12
19,187,43,2,2003,46,81,78,72,87,0,0,0,0,0,0,0,916,25,1.5,2,92,нет,мужской,нет,Решка,Ножницы,Кошек,4,выше средней по университету,KFC,65,155,65,не призовут (по разным причинам),нет,4,6,140,Скиттлс (хотя это и не шоколадка),600000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),7,12,32
17,168,39,0,2004,110,91,72,0,83,0,0,0,0,0,0,0,0,60,0,0,71,простите. не увидел(а) вопроса )))),женский,нет,Решка,Ножницы,Кошек,9,выше средней по университету,Макдональдс (или как он там сейчас называется?),35,70,67,не призовут (по разным причинам),нет,30,6,1000,Марс,800000,Экономический,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),5,7,15
18,165,36,1,2003,180,72,70,0,70,0,0,0,0,0,0,0,200,100,2,0,46,да,женский,да,Решка,Ножницы,Кошек,12,выше средней по университету,KFC,70,150,73,не призовут (по разным причинам),нет,60,12,240,Баунти,850000,СоцГум,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),20,10,40
19,182,43,2,2003,50,76,74,0,92,0,0,0,0,0,0,0,0,15,2,0,72,нет,мужской,да,Орел,Бумага,Собак,3,выше средней по университету,KFC,50,100,70,могут призвать,нет,5,1,120,Твикс,760000,Математический и ИТ,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),8,8,20
26,167,37,7,1995,209,98,80,0,73,0,0,0,0,0,0,0,0,90,1,0,59,да,женский,нет,Решка,Камень,Собак,12,выше средней по университету,Макдональдс (или как он там сейчас называется?),76,178,68,не призовут (по разным причинам),нет,60,4,120,Баунти,800000,СоцГум,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),11,13,35
21,174,41,3,2001,139,76,90,0,79,0,0,0,0,0,78,0,693,30,,,60,нет,мужской,нет,Орел,Ножницы,Кошек,3,выше средней по университету,KFC,70,150,69,могут призвать,нет,7,4,5,Твикс,400000,Естественный (биология-химия-физика-технари),Математический и ИТ,есть сестра,У окна (пардон: у иллюминатора),12,2,16
19,162,40,1,2003,147,86,78,0,73,0,0,0,0,0,85,0,400,20,0,0,52,да,женский,нет,Решка,Бумага,Кошек,6,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,100,68,не призовут (по разным причинам),нет,15,5,240,Скиттлс (хотя это и не шоколадка),900000,Педагогический,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),12,11,30
20,171,39,2,2002,284,87,74,0,75,0,0,0,0,0,0,0,0,180,1,0,,да,женский,нет,Решка,Камень,Кошек,3,выше средней по университету,Макдональдс (или как он там сейчас называется?),60,100,56,не призовут (по разным причинам),нет,20,9,200,КитКат,800000,Математический и ИТ,Математический и ИТ,нет ни брата ни сестры,У окна (пардон: у иллюминатора),5,2,10
18,177,42,2,2003,15,86,74,51,62,0,0,0,0,0,0,0,1101,30,2,1,80,нет,мужской,нет,Орел,Ножницы,Кошек,8,выше средней по университету,Бургер кинг,70,150,69,могут призвать,нет,20,8,240,M&Ms,800000,Математический и ИТ,Математический и ИТ,есть сестра,В середине,9,9,42
24,163,39,6,1998,200,88,70,0,0,0,0,0,0,0,0,70,10,120,0,1,84,нет,женский,нет,Решка,Ножницы,Кошек,5,выше средней по университету,KFC,75,200,67,не призовут (по разным причинам),нет,12,7,240,M&Ms,954765,Педагогический,Педагогический,нет ни брата ни сестры,У окна (пардон: у иллюминатора),12,10,42
21,180,41,2,2001,250,94,72,0,0,0,0,86,0,0,90,71,0,40,2,0,85,нет,женский,нет,Решка,Бумага,Собак,4,выше средней по университету,KFC,50,110,74,не призовут (по разным причинам),нет,40,7,600,КитКат,800000,Педагогический,СоцГум,есть сестра,У прохода,10,13,30
18,173,40,2,2003,208,88,62,0,0,0,0,0,0,0,0,64,0,60,1,,53,да,женский,нет,Решка,Ножницы,Кошек,12,ниже средней по университету,Макдональдс (или как он там сейчас называется?),50,100,68,не призовут (по разным причинам),нет,50,15,120,Сникерс,999999,СоцГум,Юридический,есть сестра,У окна (пардон: у иллюминатора),5,10,20
19,167,39,2,2003,76,92,0,0,0,0,0,81,0,0,0,86,200,120,2,0,65,да,женский,нет,Орел,Ножницы,Собак,1,выше средней по университету,Бургер кинг,6,13,65,не призовут (по разным причинам),нет,60,10,300,Милки Вей,950000,Математический и ИТ,Юридический,нет ни брата ни сестры,У окна (пардон: у иллюминатора),8,14,25
21,158,35,3,2001,500,78,56,0,0,0,0,0,67,0,0,58,300,40,0,0,,да,женский,да,Орел,Ножницы,Кошек,5,выше средней по университету,Бургер кинг,60,120,60,не призовут (по разным причинам),нет,100,1,600,КитКат,700000,Математический и ИТ,Другое,есть брат,У окна (пардон: у иллюминатора),12,15,30
20,170,38,3,2002,515,92,0,0,0,0,0,70,0,0,95,0,0,40,2,1,47,нет,женский,нет,Орел,Ножницы,Кошек,7,выше средней по университету,KFC,0,0,70,не призовут (по разным причинам),нет,70,5,105,КитКат,700000,Математический и ИТ,СоцГум,есть брат,У окна (пардон: у иллюминатора),15,12,3
21,171,42,3,2001,90,86,70,0,83,0,0,0,0,0,0,0,0,90,0,0,55,да,мужской,нет,Решка,Бумага,Кошек,7,выше средней по университету,KFC,70,210,42,могут призвать,нет,15,1,120,Баунти,800000,Педагогический,Математический и ИТ,есть и брат и сестра,У окна (пардон: у иллюминатора),15,8,50
20,167,37,3,2002,129,78,0,0,0,0,0,0,0,53,0,0,866,90,2,0,51,да,женский,нет,Орел,Ножницы,Собак,5,выше средней по университету,Бургер кинг,70,150,70,не призовут (по разным причинам),нет,10,9,120,Твикс,700000,Естественный (биология-химия-физика-технари),Другое,есть сестра,У окна (пардон: у иллюминатора),5,7,22
24,164,37,7,1988,104,76,100,0,0,0,53,0,0,0,76,52,800,90,,,,да,женский,нет,Орел,Камень,Собак,4,выше средней по университету,KFC,45,150,63,не призовут (по разным причинам),нет,50,3,120,Милки Вей,1200000,Математический и ИТ,СоцГум,нет ни брата ни сестры,У прохода,10,15,24
19,160,38,1,2003,494,69,39,0,0,0,0,0,67,0,0,0,0,120,1,,52,нет,женский,нет,Орел,Ножницы,Кошек,5,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,130,70,не призовут (по разным причинам),нет,45,2,180,Твикс,700,Математический и ИТ,Естественный (биология-химия-физика-технари),есть брат,У окна (пардон: у иллюминатора),10,6,14
23,157,37,7,1998,201,98,62,0,0,0,0,72,0,0,0,62,0,30,3,0,51,да,женский,нет,Орел,Камень,Кошек,10,выше средней по университету,KFC,155,70,72,не призовут (по разным причинам),нет,45,1,180,Баунти,8,Педагогический,Педагогический,есть брат,У окна (пардон: у иллюминатора),8,15,30
22,184,45,5,1999,172,76,68,80,50,0,0,0,0,0,0,0,658,30,2,0,92,да,мужской,нет,Решка,Камень,Кошек,9,выше средней по университету,KFC,65,130,71,могут призвать,да,45,2,180,Твикс,1180000,СоцГум,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),15,10,38
24,166,38,6,1998,288,68,72,0,0,0,0,0,0,0,0,56,200,90,2,1,61,да,женский,нет,Орел,Ножницы,Собак,1,выше средней по университету,Бургер кинг,24,48,71,не призовут (по разным причинам),нет,92,6,165,Натс,879962,Педагогический,Педагогический,есть сестра,У окна (пардон: у иллюминатора),5,16,21
20,171,39,3,2001,185,78,76,0,0,0,0,0,83,0,0,0,110,60,2,0,66,нет,женский,нет,Решка,Ножницы,Кошек,12,выше средней по университету,KFC,100,150,67,не призовут (по разным причинам),нет,40,4,120,КитКат,800000,Естественный (биология-химия-физика-технари),Другое,есть сестра,У прохода,8,16,35
20,164,37,2,2002,111,89,80,76,0,0,0,0,0,0,0,0,800,60,6,2,49,да,женский,нет,Решка,Камень,Собак,4,выше средней по университету,Бургер кинг,70,13,69,не призовут (по разным причинам),нет,31,4,765446788,Натс,800000,Математический и ИТ,Естественный (биология-химия-физика-технари),есть брат,У окна (пардон: у иллюминатора),2,1.7,3.6
22,173,41,4,2000,300,85,62,0,0,0,0,62,0,0,0,83,1500,20,1,4,115,нет,женский,нет,Решка,Ножницы,Собак,4,выше средней по университету,Бургер кинг,50,150,74,не призовут (по разным причинам),нет,25,11,300,КитКат,900000,Математический и ИТ,Экономический,нет ни брата ни сестры,У окна (пардон: у иллюминатора),10,2,25
23,168,37,5,1998,347,83,70,0,0,0,0,0,0,0,0,68,0,10,2.5,0,53,нет,женский,нет,Решка,Камень,Кошек,12,выше средней по университету,KFC,75,185,68,не призовут (по разным причинам),нет,60,3,300,Баунти,890000,Педагогический,Экономический,есть сестра,У окна (пардон: у иллюминатора),13,13,40
24,167,41,5,1997,1776,78,0,0,0,0,0,81,0,0,0,76,0,90,0,3,71,нет,мужской,нет,Орел,Бумага,Собак,12,выше средней по университету,Бургер кинг,70,200,90,могут призвать,нет,3,11,240,КитКат,850000,Математический и ИТ,Экономический,есть брат,У окна (пардон: у иллюминатора),15,8,30
19,153,37,3,2002,70,83,0,0,0,0,0,67,0,0,0,73,0,120,2,,46,да,женский,нет,Решка,Ножницы,Собак,11,выше средней по университету,Макдональдс (или как он там сейчас называется?),100,0,67,не призовут (по разным причинам),нет,70,4,100000000000,Сникерс,700000,Математический и ИТ,Юридический,есть брат,У прохода,20,19,60
19,180,44,2,2003,85,94,0,0,0,0,90,0,0,0,92,0,1000,120,,0,75,нет,мужской,нет,Решка,Бумага,Собак,1,выше средней по университету,Бургер кинг,50,100,100000,могут призвать,нет,25,1,240,Марс,850000,Естественный (биология-химия-физика-технари),СоцГум,есть сестра,У окна (пардон: у иллюминатора),16,25,40
21,171,39,7,2000,63,98,56,0,0,0,0,0,61,0,0,0,80,60,1,0,77,нет,женский,нет,Решка,Камень,Кошек,9,выше средней по университету,KFC,50,120,74,не призовут (по разным причинам),нет,30,2,180,Натс,800000,Естественный (биология-химия-физика-технари),Естественный (биология-химия-физика-технари),есть и брат и сестра,У окна (пардон: у иллюминатора),15,8,26
22,181,42,5,1999,149,93,72,58,0,0,0,0,0,0,0,62,2050,30,,,64,да,мужской,нет,Орел,Ножницы,Кошек,9,выше средней по университету,KFC,50,125,65,могут призвать,да,5,2,300,КитКат,850000,Естественный (биология-химия-физика-технари),Другое,нет ни брата ни сестры,У окна (пардон: у иллюминатора),9,13,30
19,163,37,2,2002,291,91,76,0,0,0,0,0,0,0,0,88,0,120,1,0,46,да,женский,нет,Орел,Ножницы,Ненавижу этих животных,11,выше средней по университету,KFC,60,130,65,не призовут (по разным причинам),нет,24,6,360,Твикс,800000,Педагогический,Экономический,есть и брат и сестра,У окна (пардон: у иллюминатора),13,10,30
21,175,43,5,2000,400,89,0,0,0,0,0,76,0,0,0,80,0,90,0,1,62,нет,мужской,нет,Орел,Ножницы,Собак,10,выше средней по университету,Макдональдс (или как он там сейчас называется?),60,127,69,могут призвать,нет,12,4,240,Сникерс,700000,Педагогический,Юридический,есть и брат и сестра,У окна (пардон: у иллюминатора),8,3,19
21,168,37,7,2000,87,78,82,0,0,0,0,0,0,0,92,66,0,60,0,0,,нет,женский,нет,Орел,Камень,Кошек,11,выше средней по университету,KFC,55,110,70,не призовут (по разным причинам),нет,45,4,60,Баунти,1000000,СоцГум,Экономический,есть брат,У окна (пардон: у иллюминатора),5,10,25
18,168,40,1,2003,300,98,80,0,0,0,0,0,0,0,0,97,800,90,4,0,70,нет,женский,нет,Орел,Камень,Собак,10,выше средней по университету,Бургер кинг,73,142,62,не призовут (по разным причинам),нет,75,13,40,Твикс,730000,Педагогический,Экономический,есть брат,У окна (пардон: у иллюминатора),13,10,50
19,180,41,1,2003,250,90,90,95,0,0,0,0,0,0,0,0,0,30,,,68,нет,мужской,нет,Орел,Камень,Ненавижу этих животных,4,выше средней по университету,Макдональдс (или как он там сейчас называется?),50,150,9999,могут призвать,нет,5,3,120,Милки Вей,1000000,Математический и ИТ,Математический и ИТ,есть брат,У окна (пардон: у иллюминатора),9,6,13
24,163,39,7,1997,74,87,40,0,0,0,0,0,0,0,0,64,750,40,,,,да,женский,нет,Решка,Ножницы,Собак,11,выше средней по университету,Бургер кинг,70,200,70,не призовут (по разным причинам),нет,25,4,180,Натс,850000,СоцГум,Педагогический,есть брат,У окна (пардон: у иллюминатора),10,5,21
